CGPA,Internships,Projects,Certifications,Aptitude,Chances,PlacementStatus,Improvement
6.41,3,1,0,61,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.57,2,1,0,64,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.03,2,1,0,65,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.7,3,1,0,62,High,Placed,"Improve projects, Gain certifications"
6.35,2,1,0,55,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.11,3,1,0,68,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
9.06,2,3,2,83,High,Placed,Maintain consistency
9.59,2,4,2,92,High,Placed,Maintain consistency
9.09,2,4,3,84,High,Placed,Maintain consistency
8.84,3,4,3,82,High,Placed,Maintain consistency
7.98,3,3,2,92,High,Placed,Maintain consistency
9.46,2,4,2,97,High,Placed,Maintain consistency
9.2,2,4,3,91,High,Placed,Maintain consistency
8.74,3,3,3,100,High,Placed,Maintain consistency
9.02,3,4,2,79,High,Placed,Maintain consistency
9.22,2,3,2,82,High,Placed,Maintain consistency
7.97,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
9.04,0,1,0,52,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.69,0,1,0,66,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.0,0,1,0,57,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.08,0,1,0,63,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
8.02,0,1,0,66,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
9.01,0,1,0,59,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.98,0,1,0,59,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.07,0,1,0,58,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.41,0,1,0,55,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.73,3,4,2,96,High,Placed,Improve CGPA
6.47,3,4,3,73,High,Placed,Improve CGPA
5.96,3,3,3,83,High,Placed,Improve CGPA
5.63,2,4,3,94,High,Placed,Improve CGPA
6.17,2,3,3,89,High,Placed,Improve CGPA
5.35,2,3,2,83,High,Placed,Improve CGPA
5.98,2,4,3,86,High,Placed,Improve CGPA
5.75,3,3,2,75,High,Placed,Improve CGPA
6.11,3,3,3,81,High,Placed,Improve CGPA
6.36,2,4,3,71,High,Placed,Improve CGPA
5.0,0,1,0,54,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.23,0,1,0,47,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.6,0,1,0,54,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.48,0,1,0,52,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.53,0,1,0,48,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.2,0,1,0,57,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
6.23,0,1,0,48,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.59,0,1,0,57,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.31,0,1,0,50,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.51,0,1,0,58,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
6.23,1,2,1,65,High,Placed,Maintain consistency
6.52,1,2,1,75,High,Placed,Maintain consistency
6.99,1,2,1,70,High,Placed,Maintain consistency
7.9,1,2,1,67,High,Placed,Maintain consistency
7.06,1,2,1,70,High,Placed,Maintain consistency
7.5,1,2,1,66,High,Placed,Maintain consistency
6.78,1,2,1,68,High,Placed,Maintain consistency
7.15,1,2,1,71,High,Placed,Maintain consistency
7.54,1,2,1,72,High,Placed,Maintain consistency
6.76,1,2,1,67,High,Placed,Maintain consistency
6.55,0,1,0,94,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.64,0,1,0,89,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.68,0,1,0,93,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.13,0,1,0,82,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.85,0,1,0,96,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.94,0,1,0,92,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.16,0,1,0,92,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.55,0,1,0,90,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.94,0,1,0,85,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.09,0,1,0,95,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.03,2,1,0,65,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.33,3,1,0,64,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.49,2,1,0,73,High,Placed,"Improve projects, Gain certifications"
7.06,3,1,0,71,High,Placed,"Improve projects, Gain certifications"
6.07,3,1,0,62,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.61,2,1,0,63,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
5.88,2,1,0,57,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.44,3,1,0,66,High,Placed,"Improve projects, Gain certifications"
6.44,2,1,0,64,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
5.99,3,1,0,63,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
9.04,2,3,2,88,High,Placed,Maintain consistency
9.54,2,4,2,91,High,Placed,Maintain consistency
8.78,2,4,3,81,High,Placed,Maintain consistency
8.57,3,4,3,87,High,Placed,Maintain consistency
8.55,3,3,2,95,High,Placed,Maintain consistency
9.46,2,4,2,96,High,Placed,Maintain consistency
8.93,2,4,3,94,High,Placed,Maintain consistency
8.54,3,3,3,96,High,Placed,Maintain consistency
9.1,3,4,2,83,High,Placed,Maintain consistency
9.68,2,3,2,84,High,Placed,Maintain consistency
8.06,0,1,0,62,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
9.04,0,1,0,55,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.25,0,1,0,59,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.15,0,1,0,53,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.3,0,1,0,63,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
7.98,0,1,0,64,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
9.2,0,1,0,53,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
9.0,0,1,0,54,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
7.94,0,1,0,58,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.44,0,1,0,55,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.52,3,4,2,92,High,Placed,Improve CGPA
6.44,3,4,3,77,High,Placed,Improve CGPA
6.33,3,3,3,88,High,Placed,Improve CGPA
5.54,2,4,3,89,High,Placed,Improve CGPA
6.44,2,3,3,88,High,Placed,Improve CGPA
5.72,2,3,2,76,High,Placed,Improve CGPA
6.08,2,4,3,82,High,Placed,Improve CGPA
6.08,3,3,2,75,High,Placed,Improve CGPA
6.06,3,3,3,78,High,Placed,Improve CGPA
6.26,2,4,3,77,High,Placed,Improve CGPA
5.0,0,1,0,49,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.15,0,1,0,49,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.65,0,1,0,60,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.71,0,1,0,58,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.62,0,1,0,42,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.29,0,1,0,60,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.85,0,1,0,44,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.85,0,1,0,58,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.21,0,1,0,59,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
6.06,0,1,0,61,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
6.74,1,2,1,67,High,Placed,Maintain consistency
6.36,1,2,1,72,High,Placed,Maintain consistency
6.77,1,2,1,70,High,Placed,Maintain consistency
7.51,1,2,1,71,High,Placed,Maintain consistency
7.06,1,2,1,68,High,Placed,Maintain consistency
7.58,1,2,1,71,High,Placed,Maintain consistency
6.88,1,2,1,69,High,Placed,Maintain consistency
7.37,1,2,1,76,High,Placed,Maintain consistency
7.14,1,2,1,69,High,Placed,Maintain consistency
6.31,1,2,1,69,High,Placed,Maintain consistency
6.3,0,1,0,93,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.99,0,1,0,86,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.44,0,1,0,90,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.16,0,1,0,82,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.76,0,1,0,96,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.58,0,1,0,98,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.18,0,1,0,90,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.69,0,1,0,93,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.93,0,1,0,84,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.96,0,1,0,94,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.41,2,1,0,74,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.43,3,1,0,67,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.92,2,1,0,74,High,Placed,"Improve projects, Gain certifications"
7.18,3,1,0,66,High,Placed,"Improve projects, Gain certifications"
5.97,3,1,0,60,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.11,2,1,0,70,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.14,2,1,0,65,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.6,3,1,0,66,High,Placed,"Improve projects, Gain certifications"
6.38,2,1,0,56,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
7.01,3,1,0,62,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
9.1,2,3,2,87,High,Placed,Maintain consistency
9.51,2,4,2,88,High,Placed,Maintain consistency
9.29,2,4,3,86,High,Placed,Maintain consistency
8.66,3,4,3,86,High,Placed,Maintain consistency
8.44,3,3,2,88,High,Placed,Maintain consistency
9.45,2,4,2,96,High,Placed,Maintain consistency
9.03,2,4,3,93,High,Placed,Maintain consistency
8.75,3,3,3,95,High,Placed,Maintain consistency
8.9,3,4,2,79,High,Placed,Maintain consistency
9.64,2,3,2,82,High,Placed,Maintain consistency
8.47,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.6,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.53,0,1,0,59,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
7.78,0,1,0,55,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.15,0,1,0,69,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
8.34,0,1,0,65,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
8.84,0,1,0,54,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.69,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.04,0,1,0,53,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.45,0,1,0,59,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.56,3,4,2,87,High,Placed,Improve CGPA
6.32,3,4,3,79,High,Placed,Improve CGPA
6.11,3,3,3,87,High,Placed,Improve CGPA
5.57,2,4,3,86,High,Placed,Improve CGPA
6.68,2,3,3,82,High,Placed,Improve CGPA
5.77,2,3,2,82,High,Placed,Improve CGPA
5.51,2,4,3,80,High,Placed,Improve CGPA
5.74,3,3,2,72,High,Placed,Improve CGPA
5.98,3,3,3,83,High,Placed,Improve CGPA
6.58,2,4,3,76,High,Placed,Improve CGPA
5.0,0,1,0,52,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.29,0,1,0,47,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.77,0,1,0,57,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.81,0,1,0,51,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.32,0,1,0,47,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.05,0,1,0,60,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.76,0,1,0,48,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.43,0,1,0,63,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.61,0,1,0,52,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.6,0,1,0,61,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
6.36,1,2,1,69,High,Placed,Maintain consistency
6.71,1,2,1,69,High,Placed,Maintain consistency
7.4,1,2,1,70,High,Placed,Maintain consistency
7.62,1,2,1,70,High,Placed,Maintain consistency
6.8,1,2,1,67,High,Placed,Maintain consistency
7.34,1,2,1,68,High,Placed,Maintain consistency
7.04,1,2,1,71,High,Placed,Maintain consistency
7.24,1,2,1,77,High,Placed,Maintain consistency
7.4,1,2,1,76,High,Placed,Maintain consistency
6.76,1,2,1,63,High,Placed,Maintain consistency
6.2,0,1,0,90,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.81,0,1,0,95,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.75,0,1,0,90,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.21,0,1,0,80,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.68,0,1,0,96,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.25,0,1,0,92,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.69,0,1,0,87,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.37,0,1,0,91,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.83,0,1,0,87,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.22,0,1,0,96,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.63,2,1,0,66,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.03,3,1,0,70,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.93,2,1,0,76,High,Placed,"Improve projects, Gain certifications"
6.97,3,1,0,67,High,Placed,"Improve projects, Gain certifications"
6.05,3,1,0,57,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.39,2,1,0,71,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.08,2,1,0,65,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.38,3,1,0,69,High,Placed,"Improve projects, Gain certifications"
6.29,2,1,0,56,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.16,3,1,0,66,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
9.01,2,3,2,84,High,Placed,Maintain consistency
9.41,2,4,2,85,High,Placed,Maintain consistency
9.42,2,4,3,77,High,Placed,Maintain consistency
8.28,3,4,3,89,High,Placed,Maintain consistency
8.93,3,3,2,87,High,Placed,Maintain consistency
8.91,2,4,2,97,High,Placed,Maintain consistency
9.15,2,4,3,95,High,Placed,Maintain consistency
8.92,3,3,3,94,High,Placed,Maintain consistency
9.06,3,4,2,80,High,Placed,Maintain consistency
9.5,2,3,2,82,High,Placed,Maintain consistency
7.97,0,1,0,58,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.87,0,1,0,53,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.27,0,1,0,62,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.27,0,1,0,62,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.31,0,1,0,65,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
7.98,0,1,0,66,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
9.01,0,1,0,58,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.97,0,1,0,62,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.34,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.44,0,1,0,63,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.54,3,4,2,93,High,Placed,Improve CGPA
6.17,3,4,3,77,High,Placed,Improve CGPA
6.25,3,3,3,91,High,Placed,Improve CGPA
5.82,2,4,3,92,High,Placed,Improve CGPA
6.25,2,3,3,91,High,Placed,Improve CGPA
5.66,2,3,2,84,High,Placed,Improve CGPA
6.18,2,4,3,89,High,Placed,Improve CGPA
5.58,3,3,2,77,High,Placed,Improve CGPA
6.22,3,3,3,83,High,Placed,Improve CGPA
6.37,2,4,3,74,High,Placed,Improve CGPA
5.06,0,1,0,54,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.53,0,1,0,55,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.84,0,1,0,60,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.8,0,1,0,59,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.82,0,1,0,50,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.12,0,1,0,62,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.99,0,1,0,46,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.5,0,1,0,56,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.32,0,1,0,55,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.49,0,1,0,59,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
6.63,1,2,1,67,High,Placed,Maintain consistency
6.65,1,2,1,70,High,Placed,Maintain consistency
6.82,1,2,1,67,High,Placed,Maintain consistency
7.83,1,2,1,67,High,Placed,Maintain consistency
6.9,1,2,1,69,High,Placed,Maintain consistency
7.2,1,2,1,69,High,Placed,Maintain consistency
7.02,1,2,1,67,High,Placed,Maintain consistency
7.54,1,2,1,76,High,Placed,Maintain consistency
7.43,1,2,1,71,High,Placed,Maintain consistency
6.74,1,2,1,66,High,Placed,Maintain consistency
6.39,0,1,0,97,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.64,0,1,0,86,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.42,0,1,0,94,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.27,0,1,0,86,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.93,0,1,0,94,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.47,0,1,0,97,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.19,0,1,0,93,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.6,0,1,0,94,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.0,0,1,0,89,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.08,0,1,0,98,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.18,2,1,0,72,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.37,3,1,0,67,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.75,2,1,0,76,High,Placed,"Improve projects, Gain certifications"
6.87,3,1,0,74,High,Placed,"Improve projects, Gain certifications"
6.16,3,1,0,65,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.35,2,1,0,67,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
5.75,2,1,0,64,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.22,3,1,0,63,High,Placed,"Improve projects, Gain certifications"
6.14,2,1,0,59,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.2,3,1,0,60,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
